WONum,Created,Ctr,Units
WO-PS-18-006439,11/13/2018 7:31AM,400,15
WO-PS-18-006474,11/12/2018 12:02PM,509,5
WO-PS-18-006561,11/12/2018 9:17AM,303,15
WO-PS-18-006612,11/13/2018 4:05PM,101,25
WO-PS-18-006719,11/13/2018 7:45AM,400,15
WO-PS-18-006751,11/12/2018 12:23PM,506,15
WO-PS-18-006770,11/12/2018 2:44PM,206,15
WO-PS-18-006825,11/12/2018 9:18AM,600,15
WO-PS-18-006933,11/13/2018 7:51AM,400,15
WO-PS-18-006984,11/12/2018 1:05PM,209,5
WO-PS-18-007041,11/12/2018 4:03PM,509,5
WO-PS-18-007089,11/12/2018 7:41AM,400,15
WO-PS-18-007108,11/13/2018 8:23AM,210,25
WO-PS-18-007253,11/12/2018 8:40AM,400,15
WO-PS-18-007269,11/12/2018 9:16AM,610,15
WO-PS-18-007400,11/13/2018 7:49AM,400,15
WO-PS-18-007451,11/12/2018 1:00PM,506,5
WO-PS-18-007486,11/13/2018 2:37PM,207,15
WO-PS-18-007553,11/13/2018 7:51AM,400,15
WO-PS-18-007599,11/13/2018 9:07AM,101,5
WO-PS-18-007662,11/12/2018 3:10PM,204,5
WO-PS-18-007692,11/12/2018 8:07AM,400,15
WO-PS-18-007849,11/12/2018 10:22AM,204,25
WO-PS-18-007902,11/13/2018 2:32PM,303,15
WO-PS-18-007954,11/13/2018 7:53AM,400,15
WO-PS-18-008115,11/12/2018 8:54AM,400,15
WO-PS-18-008240,11/12/2018 12:43PM,101,15
WO-PS-18-008408,11/12/2018 3:05PM,300,5
WO-PS-18-008660,11/12/2018 11:04AM,101,15
WO-PS-18-008694,11/13/2018 4:28PM,206,15
WO-PS-18-008772,11/12/2018 10:31AM,510,5
WO-PS-18-008988,11/13/2018 6:27AM,102,5
WO-PS-18-009031,11/13/2018 9:06AM,603,15
WO-PS-18-009122,11/12/2018 4:32PM,208,15
WO-PS-18-009151,11/12/2018 7:36AM,603,15
WO-PS-18-009234,11/13/2018 2:15PM,605,25
WO-PS-18-009245,11/12/2018 2:35PM,304,15
WO-PS-18-009357,11/12/2018 2:28PM,300,15
WO-PS-18-009475,11/13/2018 2:02PM,306,15
WO-PS-18-009710,11/13/2018 1:34PM,303,15
WO-PS-18-009758,11/12/2018 7:00AM,210,15
WO-PS-18-009831,11/13/2018 1:49PM,306,15
WO-PS-18-009846,11/13/2018 2:35PM,205,25
WO-PS-18-009895,11/12/2018 8:42AM,208,15
WO-PS-18-009947,11/13/2018 1:50PM,305,15
WO-PS-18-010046,11/13/2018 12:06PM,205,15
WO-PS-18-010361,11/13/2018 7:59AM,101,15
WO-PS-18-010394,11/13/2018 1:14PM,304,5
WO-PS-18-010396,11/13/2018 1:17PM,210,25
WO-PS-18-010410,11/12/2018 2:40PM,308,15
WO-PS-18-010620,11/12/2018 1:42PM,202,15
WO-PS-18-010738,11/12/2018 1:53PM,303,15
WO-PS-18-010796,11/12/2018 9:29AM,204,25
WO-PS-18-011080,11/12/2018 3:02PM,302,15
WO-PS-18-011209,11/12/2018 8:41AM,505,5
WO-PS-18-011210,11/13/2018 8:44AM,607,5
WO-PS-18-011321,11/13/2018 2:22PM,302,15
WO-PS-18-011345,11/13/2018 6:45AM,200,25
WO-PS-18-011544,11/12/2018 12:58PM,607,5
WO-PS-18-011563,11/13/2018 2:28PM,303,15
WO-PS-18-011574,11/12/2018 3:42PM,206,15
WO-PS-18-011685,11/13/2018 2:13PM,305,15
WO-PS-18-011697,11/12/2018 3:04PM,604,5
WO-PS-18-011803,11/13/2018 3:55PM,102,15
WO-PS-18-012137,11/13/2018 8:44AM,500,25
WO-PS-18-012713,11/12/2018 1:45PM,304,15
WO-PS-18-012740,11/13/2018 4:23PM,301,5
WO-PS-18-012769,11/12/2018 7:59AM,205,5
WO-PS-18-012825,11/13/2018 1:30PM,203,5
WO-PS-18-012827,11/13/2018 1:51PM,206,5
WO-PS-18-013610,11/12/2018 1:56PM,310,15
WO-PS-18-013668,11/12/2018 7:34AM,206,15
WO-PS-18-013880,11/12/2018 10:46AM,505,5
WO-PS-18-013904,11/13/2018 1:39PM,209,25
WO-PS-18-014142,11/12/2018 11:11AM,205,15
WO-PS-18-014654,11/13/2018 8:38AM,202,5
WO-PS-18-014788,11/12/2018 9:23AM,104,5
WO-PS-18-015068,11/13/2018 1:14PM,210,15
WO-PS-18-015291,11/13/2018 1:24PM,104,15
WO-PS-18-015301,11/12/2018 2:15PM,101,5
WO-PS-18-015713,11/13/2018 3:48PM,203,15
WO-PS-18-015771,11/12/2018 8:36AM,410,5
WO-PS-18-015813,11/12/2018 2:45PM,301,15
WO-PS-18-016042,11/12/2018 1:58PM,208,5
WO-PS-18-016059,11/12/2018 2:33PM,101,5
WO-PS-18-016182,11/13/2018 1:59PM,301,15
WO-PS-18-016234,11/12/2018 10:12AM,204,15
WO-PS-18-016322,11/13/2018 8:40AM,603,15
WO-PS-18-016331,11/13/2018 9:00AM,603,15
WO-PS-18-016531,11/13/2018 7:12AM,601,15
WO-PS-18-016551,11/12/2018 7:36AM,601,15
WO-PS-18-016598,11/13/2018 10:23AM,206,15
WO-PS-18-016658,11/13/2018 6:16AM,104,5
WO-PS-18-016666,11/13/2018 7:17AM,602,15
WO-PS-18-017289,11/13/2018 10:25AM,204,15
WO-PS-18-017506,11/13/2018 7:39AM,210,25
WO-PS-18-017728,11/12/2018 7:41AM,500,15
WO-PS-18-017784,11/12/2018 1:10PM,503,25
WO-PS-18-017809,11/12/2018 4:36PM,101,15
WO-PS-18-018176,11/13/2018 2:13PM,310,15
WO-PS-18-018248,11/13/2018 9:53AM,609,5
WO-PS-18-018855,11/13/2018 4:36PM,208,5
WO-PS-18-018888,11/13/2018 10:49AM,203,15
WO-PS-18-018913,11/13/2018 3:38PM,201,15
WO-PS-18-018949,11/12/2018 9:04AM,204,15
